ASIN,title,rating,review_count,price,product_type
B07ZRLM42Z,"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone - Silver Blue",4.4,4625,21.24,headphone
B00E4LGVUO,"Panasonic ErgoFit Earbud Headphones with Microphone and Call Controller Compatible with iPhone, Android and Blackberry - RP-TCM125-K - In-Ear (Black), Earpads S/M/L",4.3,104491,12.95,headphone
B08K8LHD52,"Bluetooth Headphones, 40Hrs Wireless Over-Ear Headphones Deep Bass Audio with CVC 6.0 Mic for Kids Adults Travel Online Class Home Office",4.7,193,20.99,headphone
B07S7J1CGK,"Mpow Flame2 Bluetooth Headphones Sport, 12Hrs & Bluetooth 5.0 Wireless Sport Earphones, IPX7 Waterproof Running Headphones w/CVC 6.0 Noise Cancelling Mic, Bluetooth Earphones w/Comfort-Slanting,Black",4.4,22515,21.99,headphone
B07L1RQDJM,Heavy bass Earphone Color Call with Mic Stereo Earbud Headphones Mixed Colors (Black + White + Pink + Green 4 Pairs)…,4.2,6752,9.99,headphone
B08H1WNYTR,Occiam Bluetooth Headphones-True Wireless Earbuds 48Hrs Playtime Earphones TWS Deep Bass Loud Voice Call Over Ear Waterproof with Microphone Smart LED Display for Sports Running Gaming Workout-Black,4.6,8450,39.99,headphone
B08738D39L,"OneOdio Wired Over Ear Headphones-Noise Isolation, 3.5mm/6.35mm Jack, Professional Studio Monitor Recording & Mixing Stereo Headphones for Electric Guitar Drum Amp Keyboard Podcast",4.4,735,36.99,headphone
B07HL1H93Y,"Riwbox Bluetooth Headphones, Riwbox CT-7 Cat Ear LED Light Up Wireless Foldable Headphones Over Ear with Microphone and Volume Control for iPhone/iPad/Smartphones/Laptop/PC/TV (Pink&Green)",4.6,7827,32.98,headphone
B006T9ZKAQ,"Koss KPH7 Lightweight Portable Headphone, Black",4.1,7597,5.99,headphone
B081JWVRJC,"Vogek Over Ear Wired Headphones with Microphone and Noise Isolating, Folding Lightweight Headsets with Deep Bass and Tangle-Free Cord for Cellphones Smartphones Laptop Computer Chromebook, Black",4.5,1528,18.99,headphone
B07VDQHRGF,"4 Pairs Earbud Headphones with Remote & Microphone in Ear Earphone Stereo Sound Noise Isolating Tangle Free,Fits All 3.5mm Interface Device (Black+Silver+Gold+Pink)",4.2,854,9.99,headphone
B07RSJX4KW,"Mpow CH8 Kids Headphones with Microphone 2 Pack, Wired On Ear Headphones for Kids with 91dB Volume Limit, Online Schooling Headsets with Sharing Splitter for Boys Girls Children School Travel",4.6,7790,33.99,headphone
B07C48ZYXR,"Mpow H7 Bluetooth Headphones, Comfortable Over Ear Wireless Headphones, HiFi Stereo Headset, Wireless Wired Mode, CVC6.0 Microphone for Kids, Adults, Cellphone, Online Class, Home Office, PC",4.5,18001,25.99,headphone
B087R2R8S6,"Active Noise Cancelling Headphones VANKYO C750 Wireless Bluetooth Headphones Over Ear Headset with CVC 8.0 Mic Hi-Fi Sound, Deep Bass, 30H Playtime, Protein Earpad for Travel, Work, Online Class-Black",4.7,4685,59.99,headphone
B07WT15ZQF,"OneOdio A71 Wired Over Ear Headphones, Studio Headphones with SharePort, Professional Monitor Recording & Mixing Foldable Headphones with Stereo Sound for Electric Drum Keyboard Guitar Amp (Red)",4.5,4656,32.99,headphone
B0746RBK2M,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),4.7,20502,16.99,headphone
B08FSND2BR,"Wireless Bluetooth Earbuds with Mic, WSHDZ T7 Touch Control Waterproof Immersive Bass Stereo Noise Cancelling Headphones, Portable Charging Case with LED Display, Headset for Sports, Home, Work Black",4.2,518,19.9,headphone
B07TGTSKSH,"A12 Headphones Earphones Wired Earbuds with Microphone, Noise Islating, High Definition, Fits All 3.5mm Interface,Stereo for Samsung, iPhone,iPad, iPod and Mp3 Players (Black+White+Pink+Green 4pairs)",4.1,4742,9.98,headphone
B081RVTKKW,"Mpow 45Hrs Active Noise Cancelling Headphones, H17 Bluetooth Headphones with Microphone, Over Ear, Quick Charge, Deep Bass, Wired Wireless Headset for Kids, Adults, Travel, Online Class, Home Office",4.6,6469,49.99,headphone
B078S7WK5M,"ARTISTE Wireless TV Headphones Over Ear Headsets - Digital Stereo Headsets with 2.4GHz RF Transmitter, Charging Dock, 100ft Wireless Range and Rechargeable 20 Hour Battery, Black",4.2,8690,59.49,headphone
B07T89HB7R,"VPB Earbud Headphones with Remote & Microphone, in Ear Earphone Stereo Sound Noise Isolating Tangle Free for iOS and Android Smartphones, Laptops (Mixed Color 4 Pairs)",4.1,2453,9.99,headphone
B08BF971WF,"POWMEE P10 Kids Headphones with Microphone Stereo Headphones for Children Boys Girls,Adjustable 85dB/94dB Volume Control Foldable On-Ear Headphone with Microphone for School/PC/Cellphone(Blue)",4.6,2257,11.99,headphone
