Title,ASIN,Batterylife_hrs,Batteries,Best_seller_rank,Brand,Card_Description,Color,Comp_memory_type,First_date_avai,Memory_size,Graphic_coprocessor,Hardware_Platform,Item_Dimension,Model_number,MaxScreen_res,OS,Power_source,Processor_brand,Processor_count,Prod_dimension,Screen_resolution,Series,Display_size
"Dell Latitude 5310 Laptop - 13.3"" FHD Touchscreen Display W/IR Camera - 1.8 GHz Intel Core i7-10610U Quad-Core - 16GB - 512GB - Windows 10 pro",B08RQFSZJ2,,1 9V batteries required. (included),,Dell,,,DDR4 SDRAM,2020-12-30,,Integrated Intel UHD Graphics,PC,,5310,1920 x 1080 ,Windows 10 Pro,,Intel,4,,,Latitude 5310,13.3
"HP Probook 640 G5 14"" Notebook - Core i5 i5-8365U - 16 GB RAM - 512 GB SSD - Natural Silver - Windows 10 Pro 64-bit - English Keyboard - Intel Optane Memory Ready - 15.50 Hour Battery Run Time",B07W856S85,,,76949,HP,Dedicated,,Unknown,2019-08-09,1,,Unknown,9.5 x 13.4 x 2.7 ,7PJ45UT#ABA,1280 x 800 ,Unknown,Battery Powered,Unknown,1,9.5 x 13.4 x 2.7 ,,HP ProBook,14
"Latitude 5410 Laptop - 14"" FHD W/IR Camera - 1.8 GHz Intel Core i7-10610U Quad-Core - 512GB SSD - 16GB - Windows 10 pro",B08MKYD4GR,,1 9V batteries required. (included),78098,Olecto,Integrated,,DDR4 SDRAM,2020-11-03,512,Intel UHD Graphics 620,PC,,Latitude 5410/4J73P53,1920 x 1080 ,Windows 10 Pro,,Intel,4,,,Latitude 5410,14
"ASUS Chromebook Flip C433TA - 14"" FHD Touch - m 8100Y - 4GB - 64GB eMMC",B08121WY1B,,1 Lithium Polymer batteries required. (included),64498,ASUS,Integrated,Blue Silver,DDR3 SDRAM,2019-11-05,64,Intel HD Graphics 615,PC,12.7 x 8.1 x 0.6 ,C433TA-BM3T8,1920 x 1080 ,Chrome OS,AC,Intel,2,12.7 x 8.1 x 0.6 ,,ASUS Chromebook,14
"ASUS ZenBook 14 Ultra Thin and Light Laptop, 4-Way NanoEdge 14” FHD, Intel Core i5-10210U, 8GB RAM, 512GB PCIe NVMe SSD, Wi-Fi 5, Windows 10 Home, Utopia Blue, UX431FA-EH55 (Renewed)",B08BH256P8,,,194753,ASUS,Integrated,,DDR3 SDRAM,2020-06-18,512,Intel UHD Graphics,PC,12.7 x 8.3 x 0.6 ,,1920 x 1080 ,Windows 10 Home,,Intel,4,12.7 x 8.3 x 0.6 ,1920 x 1080 pixels,ZenBook 14,14
"MSI Creator 15 A10SET-050 15.6"" FHD Finger Touch Panel, 60Hz 72%NTS Thin and Light Professional Laptop Intel Core i7-10875H RTX2060 16GB DDR4 512GB NVMe SSD TB3 Win10PRO VR Ready",B08JD1M1S8,,,162816,MSI,Dedicated,Space Gray with Silver Diamond cut,,2020-09-12,16,NVIDIA GeForce RTX 2060,PC,9.8 x 14.1 x 0.72 ,Creator 15 A10SET-050,1920 x 1080 ,Windows 10 Pro,Battery Powered,Intel,8,9.8 x 14.1 x 0.72 ,,Creator 15 A10SET-050,15.6
"Dell Latitude 5410 Multi-Touch Laptop (Silver) - 14"" FHD Touchscreen W/IR Camera - 1.8 GHz Intel Core i7-10610U Quad-Core - 512GB SSD - 16GB - Windows 10 pro",B08CL5PBC6,,1 9V batteries required. (included),,Dell,Integrated,,DDR4 SDRAM,2020-12-11,512,Intel UHD Graphics 620,PC,,5410,1920 x 1080 ,Windows 10 Pro,,Intel,4,,,Latitude 5410,14
"GIGABYTE Aero 15W v8-BK4 15"" Ultra Slim Gaming Laptop 144Hz FHD X-Rite i7-8750H, GeForce GTX 1060, 16G RAM, 512GB SSD, Metal Chassis, RGB Keyboard",B07CD9VVVZ,10,,69560,Gigabyte,Dedicated,Black,DDR4 SDRAM,2018-03-29,512,NVIDIA GeForce GTX 1060,,,Aero 15W v8-BK4,1920 x 1080 ,Windows 10 Home,Battery Powered,,1,,,Gigabyte,15.6
"Flagship 2019 Lenovo ThinkPad T570 15-Inch FHD IPS Business Laptop, Intel Dual Core HDMI 802.11ac Bluetooth USB-C FP Reader (i5-6300u-16G-500G-win7 pro)",B07S5ZFXZ9,,1 Lithium Polymer batteries required. (included),133274,Lenovo,,,DDR4 SDRAM,2019-05-22,,HD Graphics 520,PC,14.4 x 9.9 x 0.78 ,,1920 x 1080,Windows 7 Professional,,Intel,2,14.4 x 9.9 x 0.78 ,,Lenovo Thinkpad,15.6
"Dell XPS 13 7390 13.3"" FHD Touch Screen Laptop - Intel Core i5 - 8GB RAM - 128GB SSD - Intel UHD Graphics - Windows 10 Home - New",B08G2MF6QL,,,134070,Dell,Integrated,Platinum Silver,DDR4 SDRAM,2020-08-17,128,Intel HD Graphics 620,PC,,Dell XPS 13 7390,1920 x 1080 MP,Intel HD Graphics 620,,Intel,4,,1920x1080,Dell XPS 13 7390,13
