Title,ASIN,Batterylife_hrs,Batteries,Best_seller_rank,Brand,Card_Description,Color,Comp_memory_type,First_date_avai,Memory_size,Graphic_coprocessor,Hardware_Platform,Item_Dimension,Model_number,MaxScreen_res,OS,Power_source,Processor_brand,Processor_count,Prod_dimension,Screen_resolution,Series,Display_size
Lenovo IdeaPad 3 Intel i5-1035G1 Quad Core 12GB RAM 256GB SSD 15.6-inch Touch Screen Laptop,B08NXSJVCR,,1 Lithium Polymer batteries required. (included),212,Lenovo,Dedicated,Platinum Grey,DDR4 SDRAM,2020-11-20,256,Intel UHD Graphics,PC,14.26 x 9.98 x 0.78 ,81WE00NKUS,1366 x 768 ,Windows 10,AC & Battery,Intel,2,14.26 x 9.98 x 0.78 ,1366x768,Lenovo Ideapad,15.6
"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",B07GLV1VC7,10,1 Lithium Polymer batteries required. (included),372,Lenovo,Integrated,Business Black,Unknown,2018-08-09,64,,Chrome,12.82 x 0.82 x 9.15 ,81JW0000US,1920X1080 ,Chrome OS,Battery Powered,Mediatek,4,12.82 x 0.82 x 9.15 ,,Ideapad S330,14
"Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2060 6GB, 15.6"" Full HD 144Hz 3ms IPS Display, 16GB Dual-Channel DDR4, 512GB NVMe SSD, Wi-Fi 6, RGB Keyboard, PH315-53-72XD",B08842D7JS,6,1 Lithium ion batteries required. (included),146,Acer,RTX 2060,,DDR4 SDRAM,2020-06-16,512,NVIDIA GeForce RTX 2060,,14.31 x 10.04 x 0.9 ,PH315-53-72XD,1920 x 1080 ,Windows 10 Home,Battery Powered,Intel,6,14.31 x 10.04 x 0.9 ,,PH315-53-72XD,15.6
"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb185nr, Royal Blue)",B084SKWC89,10,1 Lithium Metal batteries required. (included),669,HP,Integrated,Royal Blue,DDR4 SDRAM,2020-03-01,4,,,13.27 x 8.9 x 0.7 ,9MV84UA#ABA,1366 x 768 ,Windows 10 Home,Battery Powered,Intel,2,13.27 x 8.9 x 0.7 ,,Stream Laptop,14
"HP Chromebook 11-inch Laptop - Up to 15 Hour Battery Life - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0021nr, 2020 Model, Snow White)",B08H6YZY3Y,15.45,1 Lithium Polymer batteries required. (included),2997,HP,Integrated,Snow White,SDRAM,2020-10-04,32,,Google,7.59 x 11.22 x 0.66 ,11a-na0021nr,1366 x 768 ,Chrome OS,Battery Powered,MediaTek,8,7.59 x 11.22 x 0.66 ,,HP 11 Chromebook,11.6
"Acer Spin 5 Convertible Laptop, 13.5"" 2K 2256 x 1504 IPS Touch, 10th Gen Intel Core i7-1065G7, 16GB LPDDR4X, 512GB NVMe SSD, Wi-Fi 6, Backlit KB, FPR, Rechargeable Active Stylus, SP513-54N-74V2",B086KJCJDM,15,1 Lithium ion batteries required. (included),270,Acer,Integrated,,,2020-04-27,512,,Windows,11.81 x 9.25 x 0.59 ,SP513-54N-74V2,1280 x 720,Windows 10 Home,Battery Powered,Intel,4,11.81 x 9.25 x 0.59 ,,SP513-54N-74V2,13.5
"Newest HP 15.6inch Lightweight Laptop, Intel Quad-Core i5-1035G1 Processor Up to 3.60 GHz, 8GB DDR4 RAM, 256GB SSD + 16GB Optane, HDMI, Bluetooth, Win 10-Silver (Renewed)",B08FCTXKFB,,1 Lithium ion batteries required. (included),17066,HP,Integrated,Silver,DDR4 SDRAM,2020-08-06,256,Intel,PC,14.11 x 9.53 x 0.71 ,HP 15.6inch Laptop,1366 x 768 ,Windows 10,,Intel,4,14.11 x 9.53 x 0.71 ,,HP 15.6inch Laptop,15.6
"Acer Aspire 5 A515-55-56VK, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-1035G1, 8GB DDR4, 256GB NVMe SSD, Intel Wireless WiFi 6 AX201, Fingerprint Reader, Backlit Keyboard, Windows 10 Home",B087RTV311,8,1 Lithium ion batteries required. (included),240,Acer,Integrated,,DDR4 SDRAM,2020-06-01,256,Integrated,,14.31 x 9.86 x 0.71 ,A515-55-56VK,1920 x 1080,Windows 10 Home,Battery Powered,Intel,4,14.31 x 9.86 x 0.71 ,,A515-55-56VK,15.6
"Microsoft Surface Laptop Go - 12.4"" Touchscreen - Intel Core i5 - 8GB Memory - 128GB SSD - Ice Blue",B08GZKZ95X,,1 Lithium ion batteries required. (included),2301,Microsoft,Integrated,Ice Blue,,2020-10-01,128,Intel UHD Graphics,PC,9.27 x 12.19 x 1.93 ,THH-00024,1536 x 1024 ,Windows 10 S,Battery,Intel,4,9.27 x 12.19 x 1.93 ,1536 x 1024,Surface Laptop Go,12.45
"OEM Lenovo ThinkPad T490 Laptop 14” WQHD IPS Display 2560x1440, Intel Quad Core i7-8665U, 48GB RAM, 512GB NVMe, Fingerprint, W10P",B08KRJNN83,,,44811,Oemgenuine,,Black,SODIMM,2020-03-31,512,Intel UHD,PC,12.95 x 8.94 x 0.7 ,T490,2560x1440 ,Windows 10 Pro,AC & Battery,Intel,4,12.95 x 8.94 x 0.7 ,,ThinkPad T490,14
"SAMSUNG XE310XBA-K02US Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 4GB RAM 64GB eMMC Gigabit Wi-Fi",B07XL4JHXR,12.5,1 Lithium ion batteries required. (included),387,Samsung Electronics,Integrated,Silver,DDR4 SDRAM,2019-10-07,,,,11.33 x 7.96 x 0.66 ,XE310XBA-K02US,,Chrome OS,Battery Powered,Intel,1,11.33 x 7.96 x 0.66 ,,Chromebook 4,11.6
"HP 14-fq0032ms Laptop for Business and Student, 14"" LED Touchscreen, AMD Ryzen 3 3250U Processor(up to 3.5 GHz), 8GB RAM, 128GB SSD, Webcam, WiFi, Ethernet, HDMI, USB-A&C, Win10",B08QHH5BZR,10,1 Lithium ion batteries required.,1734,HP,,Natural silver,DDR4 SDRAM,2020-12-14,128,AMD Radeon Graphics,PC,,HP 14-fq0032ms,1366 x 768 ,Windows 10 Home,Battery Powered,AMD,2,,,,14
"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L, Silver",B07RF1XD36,7.5,1 Lithium Polymer batteries required. (included),9,Acer,Integrated,Silver,DDR4 SDRAM,2019-05-24,128,AMD Radeon Vega 3,,14.31 x 9.74 x 0.71 ,A515-43-R19L,1920 x 1080,Windows 10 S,Battery Powered,AMD,2,14.31 x 9.74 x 0.71 ,,A515-43-R19L,15.6
"Lenovo IdeaPad 3 14"" Laptop, 14.0"" FHD 1920 x 1080 Display, AMD Ryzen 5 3500U Processor, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 8 Graphics, Narrow Bezel, Windows 10, 81W0003QUS, Abyss Blue",B0862269YP,,1 Lithium Polymer batteries required. (included),163,Lenovo,Integrated,Abyss Blue,DDR4 SDRAM,2020-03-17,,AMD Integrated Graphics,PC,12.88 x 9.49 x 0.78 ,81W0003QUS,1920 x 1080 ,Windows 10,Battery Powered,AMD,1,12.88 x 9.49 x 0.78 ,,"IdeaPad 3 14""",14
"ASUS VivoBook 15 Thin and Light Laptop- 15.6” Full HD, Intel i5-1035G1 CPU, 8GB RAM, 512GB SSD, Backlit KeyBoard, Fingerprint, Windows 10- F512JA-AS54, Slate Gray",B086QZSLDH,,1 Lithium ion batteries required. (included),172,ASUS,Integrated,,DDR4 SDRAM,2020-04-13,512,Intel UHD Graphics,PC,14.1 x 9.1 x 0.8 ,F512JA-AS54,1920 x 1080 ,Windows 10 Home,,Intel,4,14.1 x 9.1 x 0.8 ,1920 x 1080 pixels,VivoBook 15,15.6
"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Touchscreen, Windows 10 Home in S Mode, Long Battery Life, Microsoft 365, (14-fq0050nr, 2020)",B08CM6Q55C,9,1 Lithium ion batteries required. (included),834,HP,Integrated,Jet Black,DDR4 SDRAM,2020-08-09,64,AMD Radeon,PC,0.71 x 8.86 x 12.76 ,14-fq0050nr,1366 x 768 ,Windows 10 Home,Battery Powered,AMD,2,0.71 x 8.86 x 12.76 ,1366 x 768 pixels,HP 14 Laptop,14
"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",B086MBQKH2,10,1 Lithium ion batteries required. (included),25,Acer,Integrated,,,2020-04-27,32,,Chrome,11.65 x 8.11 x 0.79 ,CP311-2H-C679,1366 x 768 ,Chrome OS,Battery Powered,Intel,2,11.65 x 8.11 x 0.79 ,,CP311-2H-C679,11.6
"ASUS TUF Gaming Laptop, 15.6” 144Hz Full HD IPS-Type Display, Intel Core i7-9750H Processor, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505GT-AB73",B08KH2Q1FG,,1 Lithium ion batteries required. (included),424,ASUS,Dedicated,Stealth Black,DDR4 SDRAM,2020-11-04,512,NVIDIA GeForce GTX 1650,PC,14.2 x 10.3 x 1.02 ,FX505GT-AB73,1920 x 1080 ,Windows 10 Home,,Intel,6,14.2 x 10.3 x 1.02 ,1920 x 1080 pixels,TUF Gaming 15,15.6
"Acer Nitro 5 Gaming Laptop, 9th Gen Intel Core i5-9300H, NVIDIA GeForce GTX 1650, 15.6"" Full HD IPS Display, 8GB DDR4, 256GB NVMe SSD, Wi-Fi 6, Backlit Keyboard, Alexa Built-in, AN515-54-5812",B086KJBKDW,8,1 Lithium ion batteries required. (included),164,Acer,Dedicated,,DDR4 SDRAM,2020-04-27,256,NVIDIA GeForce GTX 1650,,14.31 x 10.04 x 0.96 ,AN515-54-5812,,Windows 10 Home,Battery Powered,Intel,4,14.31 x 10.04 x 0.96 ,,AN515-54-5812,15.6
Newest HP Pavilion Intel Pentium Silver N5000 4GB 128GB SSD Windows 10 Laptop Red,B0894DBTRV,10,1 Lithium Metal batteries required.,426,HP,Integrated,Red,DDR4 SDRAM,2020-05-25,128,Intel,PC,14.9 x 10 x 0.9 ,15-dw0083wm,1266x768 ,Windows 10,Battery Powered,Intel,4,14.9 x 10 x 0.9 ,1366x768,15-dw0083wm,15.6
"Lenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey",B086226DDB,10,1 Lithium Polymer batteries required. (included),28,Lenovo,Integrated,Graphite Grey,DDR4 SDRAM,2020-03-17,,AMD Integrated Graphics,,12.66 x 8.56 x 0.82 ,81X20005US,1920 x 1080 ,Windows 10,Battery Powered,AMD,1,12.66 x 8.56 x 0.82 ,,"Flex 5 14""",14
"New HP 15.6"" HD Touchscreen Laptop Intel Core i3-1005G1 8GB DDR4 RAM 128GB SSD HDMI Bluetooth 802.11/b/g/n/ac Windows 10 15-dy1731ms Silver",B082358X13,,1 Lithium Metal batteries required.,827,HP,Integrated,Silver,DDR4 SDRAM,2019-11-27,512,Intel UHD Graphics,PC,14.11 x 9.53 x 0.71 ,7PA01UA,1366 x 768,Windows 10,Battery Powered,Intel,2,14.11 x 9.53 x 0.71 ,1366x768,15-dy1731ms,15.6
"New HP Pavilion 2-in-1 15.6"" HD Touchscreen Laptop Intel i5-8265U 8GB RAM 512GB SSD Bluetooth Windows 10",B081K6MCL3,10,1 Lithium ion batteries required. (included),6210,HP,Integrated,,DDR4 SDRAM,2019-11-13,512,Intel UHD Graphics 620,PC,14.13 x 8.44 x 0.81 ,DQ0953CL,1366 x 768,Windows 10,Corded-Electric,Intel,4,14.13 x 8.44 x 0.81 ,1366x768,DQ0953CL,15.6
"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD (1920x1080) IPS Screen, AMD Ryzen 7 4800H Processor, 16GB DDR4, 512GB SSD, NVIDIA GTX 1660Ti, Windows 10, 82B1000AUS, Phantom Black",B08BB9RWXD,5,1 Lithium Polymer batteries required. (included),215,Lenovo,Dedicated,Phantom Black,DDR4 SDRAM,2020-06-16,16,NVIDIA GeForce GTX 1660Ti,PC,14.29 x 10.22 x 0.98 ,82B1000AUS,1920 x 1080 ,Windows 10 Home,,AMD,1,14.29 x 10.22 x 0.98 ,,"Legion 5 15""",15.6
"2020 HP 15.6"" HD LED Display Laptop, Intel Pentium Gold 6405U Processor, 4GB DDR4 RAM, 128GB SSD, HDMI, Webcam, WI-FI, Windows 10 S, Scarlet Red",B08HHT31TS,,1 Lithium ion batteries required. (included),3408,HP,Integrated,Red,DDR4 SDRAM,2020-09-06,128,Intel UHD Graphics 605,PC,15 x 13.3 x 0.8 ,dw1083wm,1366x768 ,Windows 10,AC & Battery,Intel,2,15 x 13.3 x 0.8 ,1366x768,15-red,15.6
"Newest HP 14"" HD WLED Backlit High Performance Business Laptop, AMD Athlon Silver 3050U up to 3.2GHz, 4GB DDR4, 128GB SSD, Wireless-AC, HDMI, Bluetooth, Webcam, SD Card Reader, Windows 10 S",B087N5LKNL,,1 Lithium Polymer batteries required.,1735,HP,,Black,DDR4 SDRAM,2020-04-23,128,AMD Radeon Graphics,PC,15 x 10 x 1 ,14,1366 x 768 ,Windows 10 S,AC & Battery,AMD,2,15 x 10 x 1 ,1366x768,HP,14
"HP Pavilion Laptop, 15.6"" Full HD IPS Touchscreen, 10th Gen Intel Core i5-1035G1 Processor up to 3.60GHz, 12GB RAM, 512GB PCIe NVMe SSD, Backlit Keyboard, HDMI, Wireless-AC, Bluetooth, Windows 10 Home",B087SD98F4,10,1 Lithium ion batteries required. (included),299,HP,,Grey,DDR4 SDRAM,2020-04-28,512,Intel UHD Graphics,PC,14.24 x 9.67 x 0.7 ,Pavilion,1920 x 1080 ,Windows 10,Battery Powered,Intel,4,14.24 x 9.67 x 0.7 ,,Pavilion,15.6
"2021 Newest HP 15.6” HD Screen Laptop, 10th Generation Intel Core i3-1005G1 Dual-Core Processor, 8 GB DDR4 RAM, 256 GB PCIe NVMe M.2 SSD, Intel UHD Graphics, Wi-Fi, Webcam, Windows 10 Home in S Mode",B08NXZNPKM,10,1 Lithium Polymer batteries required.,6355,HP,,,DDR4 SDRAM,2020-11-20,256,Intel UHD Graphics,PC,8.66 x 6.3 x 7.09 ,15-dy1091WM,1366 x 768 ,Windows 10 S,Battery Powered,Intel,2,8.66 x 6.3 x 7.09 ,,Dell Precision,15.6
"HP Stream 11.6-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (11-ak0010nr, Royal Blue)",B0886JS35F,12,1 Lithium Polymer batteries required. (included),1791,HP,Integrated,Royal Blue,DDR3 SDRAM,2020-05-02,32,Intel UHD Graphics 600,PC,11.08 x 7.59 x 0.66 ,11-ak0010nr,1920 x 1080 ,Windows 10 Home,Battery Powered,Intel,2,11.08 x 7.59 x 0.66 ,1920 x 1080 pixels,HP Stream 11,11.6
"2020_HP 14 14.0"" WLED-Backlit Display Laptop, AMD Athlon Silver 3050U Up to 3.2GHz (Beats i5-7200U), 4GB DDR4 RAM, 128GB SSD, 802.11AC WiFi+ Bluetooth 4.2, Type-C, HDMI, Black, Windows 10",B08963JG8Y,,1 Lithium Polymer batteries required. (included),2733,HP,,Black,DDR4 SDRAM,2020-05-26,128,AMD,PC,12.8 x 8.9 x 0.8 ,14-DK1003DX,1366 x 768 ,Windows 10,AC & Battery,AMD,4,12.8 x 8.9 x 0.8 ,,HP,14
"HP - 17.3"" HD+ Touchscreen Laptop - 10th Gen Intel Core i5 - 8GB Memory - 256GB SSD - Numeric Keypad - DVD-Writer - Windows 10 Home",B08PCN3MWX,,1 Lithium ion batteries required.,1744,HP,,,DDR4 SDRAM,2020-12-01,256,Intel® UHD Graphics,PC,22 x 12 x 3 ,17-by3051cl,1600 x 900 ,Windows 10 Home,,Intel,2,22 x 12 x 3 ,,,17.3
"Fusion5 14.1inch A90B+ Pro 64GB Windows 10 Laptop - 4GB RAM, 64GB Storage, Full HD IPS, Bluetooth, 2MP Webcam, Dual Band WiFi Laptop",B08GSRRKSR,,1 Lithium Polymer batteries required. (included),1219,,,,,,,,,,A90B+ PRO,,,,,,12.68 x 8.5 x 0.55 ,,,
"HP 14 Series 14"" Laptop AMD Athlon 3020e 4GB RAM 64GB eMMc Snowflake White - AMD Athlon 3020e Dual-core - AMD Radeon Graphics - HP TrueVision 720p HD Camera - Windows 10 Home in S Mode - 10 hr ba",B08HSJZZGR,10,,11053,HP,,,DDR4 SDRAM,2020-09-10,64,,,,14-fq0041nr,1366 x 768,Windows 10 S,Battery Powered,AMD,2,,1366 x 768,Athlon 3020e,14
"Fast Dell Latitude E5470 HD Business Laptop Notebook PC (Intel Core i5-6300U, 8GB Ram, 256GB Solid State SSD, HDMI, Camera, WiFi, SC Card Reader) Win 10 Pro (Renewed).",B07D5N1PFY,5,1 Lithium ion batteries required. (included),819,Dell,Integrated,,SDRAM,2018-01-01,256,Intel HD Graphics 520,PC,13.2 x 9.1 x 0.9 ,Latitude E5470,1366x768,Windows 10 Pro,,Intel,4,13.2 x 9.1 x 0.9 ,1366x768,Dell Latitude E5470,14
"Asus TUF FX505DT 15.6-inch FHD Gaming Laptop, AMD Quad Core Ryzen 5 3550H, Nvidia Geforce GTX 1650 4GB Graphics, 8GB DDR4 RAM, 256GB Solid State Drive, RGB Backlit Keyboard, Windows 10 Home, Black",B08KRMGBC2,,1 Lithium ion batteries required. (included),5519,ASUS,Dedicated,Black,SDRAM,2020-10-06,256,NVIDIA GeForce GTX 1650,PC,14.17 x 10.31 x 1.02 ,Asus TUF Laptop,FHD Display ,Windows 10 Home,AC & Battery,AMD,4,14.17 x 10.31 x 1.02 ,1920x1080,Asus TUF Gaming Laptop,15.6
"Asus TUF FX505DT Gaming Laptop, 15.6” Full HD, AMD Ryzen 7 R7-3750H Processor, GeForce GTX 1650 Graphics, 8GB DDR4, 256GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505DT-WB72, RGB Keyboard",B08B5JW8JV,,1 Lithium Polymer batteries required. (included),5434,ASUS,Dedicated,Black,DDR4 SDRAM,2020-06-14,256,NVIDIA GeForce GTX 1650,PC,10.32 x 14.9 x 1.02 ,FX505DT-WB72,1920x1080 ,Windows 10,,AMD,1,10.32 x 14.9 x 1.02 ,,FX505DT-WB72,15.6
"HP Pavilion Gaming 15-Inch Micro-Edge Laptop, Intel Core i5-9300H Processor, NVIDIA GeForce GTX 1650 (4 GB), 8 GB SDRAM, 256 GB SSD, Windows 10 Home (Shadow Black/Acid Green)",B08FCQ86F7,,1 Lithium ion batteries required. (included),12610,HP,Dedicated,Black,DDR4 SDRAM,2020-08-06,256,NVIDIA GeForce GTX 1650,PC,10.08 x 14.17 x 0.92 ,5-dk0056wm,1920 x 1080 ,Windows 10,,Intel,4,10.08 x 14.17 x 0.92 ,,Pavilion,15.6
"2020 Lenovo IdeaPad 3 17"" Laptop, AMD Ryzen 7 3700U, Webcam, Fingerprint Reader, Numeric Keypad, Bluetooth, HDMI, AMD Radeon Vega 10 Graphics, Windows 10, Platinum Grey (12GB|128GB SSD|1TB HDD)",B08KFMFWZK,,1 Lithium Polymer batteries required. (included),3495,Lenovo,,Platinum Grey,DDR4 SDRAM,2020-09-29,128,AMD Radeon Vega 10 Graphics,PC,11.07 x 15.83 x 0.78 ,IdeaPad 3,1600 x 900 ,Windows 10 Home,Battery Powered,AMD,4,11.07 x 15.83 x 0.78 ,,IdeaPad 3,17.3
"HP 15.6"" HD Intel 10th Gen i3-1005G1 3.4GHz 8GB RAM 256GB SSD Win 10 Laptop",B089T6C53P,,1 Lithium ion batteries required.,3050,HP,,Silver,DDR SDRAM,2020-06-08,256,Intel UHD Graphics,PC,14.11 x 9.53 x 0.71 ,15-DY1031WM,1366 x 768 ,Windows 10,Corded Electric,Intel,2,14.11 x 9.53 x 0.71 ,,HP 15 Laptop,15.6
"HP Stream 14-Inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode (14-cb159nr, Jet Black)",B07WMDV7CW,14,1 Lithium ion batteries required. (included),1425,HP,Integrated,,SDRAM,2019-08-25,64,,,,8MB46UA#ABA,1366 x 768,Windows 10,Battery Powered,Intel,2,,,14-cb159nr,14
"HP 17.3"" Non-Touch Laptop Intel 10th Gen i5-1035G1, 1TB Hard Drive, 12GB Memory, DVD Writer, Backlit Keyboard, Windows 10 Home Silver",B08HCM9RRN,,1 Lithium ion batteries required.,5207,HP,,,DDR4 SDRAM,2020-09-03,,Intel UHD Graphics,PC,,17-by3053cl,1920 x 1080 MP,Windows 10 Home,Battery Powered,Intel,1,,,17-by3053cl,17.3
"Jumper Laptop 13.3 inch 8GB RAM 128GB ROM Quad Core Celeron, Windows 10 Thin and Light Laptop, Full HD 1080P Display, Support 128GB TF Cardand 1TB SSD Expansion",B0821ZJBF8,,1 Lithium Polymer batteries required. (included),382,Jumper,Integrated,Gray,DDR3 SDRAM,2019-11-26,,Intel HD Graphics 500,PC,12.4 x 8.19 x 0.71 ,EZbook X3,1920*1080 ,Windows 10,,Intel,4,12.4 x 8.19 x 0.71 ,,US-EZbook-X3,13.3
"HP 14-Inch Laptop, 10th Gen Intel Core i3-1005G1, 4 GB SDRAM, 128 GB Solid-State Drive, Windows 10 Home in S Mode Black",B08LZPWCRM,,1 Lithium Metal batteries required. (included),29284,HP,Integrated,,DDR4 SDRAM,2020-10-27,128,Intel,PC,,hp 14 dq10,366x768 ,Windows 10 S,,Intel,2,,,,14
"2020 HP 15.6"" Touchscreen Laptop Computer/ 10th Gen Intel Quard-Core i5 1035G1 up to 3.6GHz/ 12GB DDR4 RAM/ 256GB PCIe SSD/ 802.11ac WiFi/ Bluetooth 4.2/ USB 3.1 Type-C/ HDMI/ Silver/ Windows 10 Home",B08BMLZKL2,,1 Lithium ion batteries required. (included),1276,HP,Integrated,Silver,DDR SDRAM,2020-06-22,256,Intel UHD Graphics,PC,14.11 x 9.53 x 0.71 ,dy1043dx,1366x768 ,Windows 10,,Intel,4,14.11 x 9.53 x 0.71 ,,15-dy1043dx,15.6
"CHUWI HeroBook Pro 14.1 inch Windows 10 Laptop Computer, 8G RAM / 256GB SSD with Intel Gmini Lake N4000 Notebook, Thin and Light",B08316YSKH,9,1 Product Specific batteries required. (included),1754,CHUWI,,Silver,DDR4 SDRAM,2019-12-22,256,Intel UHD Graphics 600,PC,13.07 x 8.43 x 0.84 ,Herobook Pro,1920 x1080 ,Windows 10,DC,Intel,2,13.07 x 8.43 x 0.84 ,1920x1080,HeroBook Pro,14.1
"HP 14 14"" Light and Portable Laptop, Core i5-1035G1, HD Camera, WiFi, Bluetooth, USB-C, HDMI, Intel UHD Graphics, 8GB SDRAM, 256GB PCIe SSD, Natural Silver, Windows 10 Home",B08PTHH29R,7,1 Lithium ion batteries required. (included),29012,HP,,Silver,DDR4 SDRAM,2020-08-04,256,Intel UHD Graphics,PC,8.86 x 12.76 x 0.71 ,HP 14,1366 x 768 ,Windows 10 Home,Battery Powered,Intel,4,8.86 x 12.76 x 0.71 ,,HP 14,14
"HP 17.3"" FHD IPS Laptop, Core i5-10210U (Beat i7-8665U), HD Webcam, Backlit Keyboard, HDMI, UHD Graphics, Windows 10 Home, 12GB Memory, 1TB HDD",B08QYTC6Q3,5,1 Lithium ion batteries required. (included),5013,HP,,Aluminum Silver,DDR4 SDRAM,2020-09-07,,Intel UHD Graphics,PC,10.72 x 16.33 x 0.96 ,HP 17,1920 x 1080 ,Windows 10 Home,Battery Powered,Intel,4,10.72 x 16.33 x 0.96 ,,HP 17,17.3
"2020 HP Pavilion x360 14"" FHD WLED Touchscreen 2-in-1 Convertible Laptop, Intel Core i5-1035G1 up to 3.6GHz, 8GB DDR4, 256GB SSD, 802.11ac, Bluetooth, Webcam, HDMI, Fingerprint Reader, Windows 10",B08B3X4L95,,1 Lithium ion batteries required.,800,HP,Integrated,Gold,DDR SDRAM,2020-06-11,256,Intel UHD Graphics,PC,12.8 x 8.7 x 0.7 ,DW0023DX,1920x1080 ,Windows 10,,Intel,4,12.8 x 8.7 x 0.7 ,1920x1080,14M-DW0023DX,14
"Newest_Lenovo IdeaPad 3 15"" HD Touch Screen Laptop, Intel 10th Gen i5-1035G1 Processor, 12GB RAM, 256GB SSD, Webcam, WiFi+Bluetooth, HDMI, Windows 10 S, 1-Month AimCare Support",B08NZSSR84,,1 Lithium ion batteries required. (included),7058,AimCare,Integrated,,DDR4 SDRAM,2020-11-22,256,Intel,PC,,Lenovoideapad,1366 x 768 ,Windows 10 S,,Intel,1,,,Lenovo Ideapad,15.6
"ASUS VivoBook Flip 14 Thin and Light 2-in-1 Laptop, 14” HD Touchscreen, Intel Celeron N4020 Processor, 4GB DDR4, 64GB Storage, Windows 10 Home in S Mode, Light Grey, TPM, Fingerprint, J401MA-DB02",B08D63M8BH,,1 Lithium ion batteries required. (included),1163,ASUS,Integrated,,DDR4 SDRAM,2020-07-17,64,Intel UHD Graphics 600,PC,12.9 x 8.9 x 0.6 ,J401MA-DB02,1366 x 768 ,Windows 10 S,,Intel,2,12.9 x 8.9 x 0.6 ,1366x768,VivoBook Flip 14,14
"ASUS ZenBook Flip S Ultra Slim Laptop, 13.3” 4K UHD OLED Touch Display, Intel Evo Platform - Core i7-1165G7 CPU, 16GB RAM, 1TB SSD, Thunderbolt 4, TPM, Windows 10 Pro, Jade Black, UX371EA-XH77T",B08H6SCT6Q,15,1 Lithium ion batteries required. (included),1635,ASUS,Integrated,Jade Black,DDR4 SDRAM,2020-10-14,1,Intel Iris Xe Graphics,PC,12 x 8.3 x 0.55 ,UX371EA-XH77T,3840 x 2160 ,Windows 10 Pro,Battery Powered,Intel,4,12 x 8.3 x 0.55 ,3840 x 2160 pixels,ZenBook Flip S,13.3
"HP - Pavilion x360 2-in-1 14"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 128GB SSD - Natural Silver - 14m-dw1013dx",B08P9RVC81,,1 Lithium ion batteries required.,1907,HP,,,DDR3 SDRAM,2020-11-29,128,Intel UHD Graphics,PC,,14m-dw1013dx,1366 x 768 ,Windows 10,Battery Powered,Intel,2,,,HP Pavilion,14
"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + IST Computers HDMI Cable",B08726QFRM,,1 Lithium ion batteries required. (included),1706,Lenovo,Integrated,Black,DDR4 SDRAM,2020-03-27,512,Intel UHD Graphics 620,PC,14.48 x 9.64 x 0.74 ,ThinkPad E15,1920x1080 ,Windows 10 Pro,AC & Battery,Intel,4,14.48 x 9.64 x 0.74 ,1920x1080,ThinkPad E15 Business Laptop,15.6
"MICROSOFT Surface Laptop 3 - 15"" - CORE I5 1035G7 - 8 GB RAM - 128 GB SSD",B088KV2J71,,2 Lithium ion batteries required. (included),6281,Microsoft,,Platinum,SDRAM,2020-04-02,,Intel Iris Plus Graphics,PC,9.6 x 13.4 x 0.6 ,PLT-00001,2496 x 1664 ,Windows 10,,Intel,4,9.6 x 13.4 x 0.6 ,,Intel Iris Plus Graphics,15
